Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

FadeOut,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
Bg,stage8,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
StopBgm2,,,,,,,,,,,
PlayBgs,002-Wind02,100,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,,,,,,0,,……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor13_00,,Character2,,,0,,……,,,
,Actor13_00,,Character2,,,0,,あ、あれ？,,,
,Actor13_00,,Character2,,,0,,どうして、アタシ一人なんだ……？,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,0,,！,,,
,Actor13_00,,Character2,,,0,,父はどこに……？,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,0,,まさか、森ではぐれて！？,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,0,,弱った、一人は……苦手なんだ,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,0,,くっ……\n歩いても出口が見つからない,,,
,Actor13_00,,Character2,,,0,,どうしたらいいんだ……,,,
FadeOut,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
,Actor13_00,,Character2,,,0,,もう疲れた……,,,
,Actor13_00,,Character2,,,0,,おなか、空いたな……,,,
PlaySe,Monster4,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor13_00,,Character2,,,0,,！,,,
FadeOut,black,,,,,,,,,,
